Solvent,a,b,R2
ethanol,-0.0008738360655737701,1.0456907256830599,0.9990958524870871
Methanol,-0.0009460999074930618,1.0683695671600368,0.9999668686505
Toluene,-0.0009365260561208757,1.1414328847055195,0.9999860458954964
Benzene,-0.0010608017267961756,1.1898888304039466,0.9999721232998108
n-Heptane,-0.0008582682701202589,0.9354449141535615,0.9999491611481283
n-Hexane,-0.0009223650940487207,0.9297671953438176,0.9998904187685627
Cyclohexane,-0.0009527961763798951,1.057984107832254,0.9999565538096635
n-pentane,-0.0009984188034188035,0.9188217286324785,0.9999353893144844
n-Octane,-0.0008150064754856605,0.9415230335800181,0.9999663708330282
n-Dodecane,-0.0007398094357076781,0.9663173192414433,0.9999985471444544
isopropanol,-0.000872753125000002,1.0414290785937506,0.9993811806925149
n-butanol,-0.0007621351648351663,1.0330701048901103,0.9997310080503541
n-pentanol,-0.0007349047619047586,1.0300818547619037,0.9996493132129481
n-propanol,-0.0008188734177215204,1.0437650018987346,0.9992845134928496
n-heptanol,-0.0007350531107739001,1.0380709559939303,0.9969685113245501
n-octanol,-0.0007247651006711403,1.037804486577181,0.9971095539225351
n-nonanol,-0.0007099022082018903,1.0362254664037847,0.9948123333930492
n-decanol,-0.0007110174418604645,1.0384815654069763,0.9962316289369567
anisole,-0.0010022222222222214,1.288201444444444,0.9957750753926289
ethyl acetate,-0.0012339433712121207,1.2622385049526512,0.9997485899280862
n-butyl acetate,-0.0009488000000000003,1.1586007200000001,0.993466725628923
n-propyl acetate,-0.0011264507042253505,1.2185638126760558,0.9976457976588026
acetic acid,-0.001116324324324323,1.3767356108108102,0.9991745441129181
ethyl formate,-0.001264144736842104,1.291486069078947,0.9901021791390829
propionic acid,-0.001079933333333334,1.310286456666667,0.9988587645939735
n-butyric acid,-0.0009920162932790235,1.248573120162933,0.9999190782085445
"1,4-dioxane",-0.0011579305523590326,1.3737748911939007,0.9995326579631986
Methyl Acetate,-0.0013078818897637786,1.3172157334645664,0.9972380725341778
acetone,-0.001150493307839388,1.1277667307839387,0.999004026923499
acetonitrile,-0.0011001241053342349,1.1048512065968943,0.9997324188962929
gamma-butyrolactone,-0.0009821243119266054,1.4166008853899081,0.999973212163976
dimethyl carbonate,-0.0013431252271743823,1.463637594790134,0.9998886990519199
thf,-0.0011118915413533836,1.2135493897462406,0.9989543507824746
dmf,-0.0009671231788079469,1.2323136300662252,0.9994272673909574
dmso,-0.0010021021505376357,1.3943056540322583,0.9998497300744154
dmac,-0.0009287666666666659,1.213227948333333,0.9999687700860393
isobutanol,-0.0007859210526315789,1.0323134144736843,0.9994414556738973
2-Butanone,-0.0010509841121495323,1.1130710205140184,0.9999068535917653
sec-Butanol,-0.0008726689847009748,1.0623612021557722,0.9991145202504217
m-xylene,-0.0008739156626506032,1.120285605421687,0.9995785134460478
o-xylene,-0.0008468273092369467,1.127950799196787,0.9997794330039004
p-xylene,-0.0008758674698795181,1.1175347656626506,0.9996955330581119
propylene glycol,-0.000735026179553374,1.2520222404611472,0.9983430610694962
ethylene glycol,-0.0007074350781860324,1.3206221842648398,0.9999102787504075
nmp,-0.0008930019643727253,1.2947396720609856,0.9962485620453735
chloroform,-0.0019086000000000012,2.0476980900000004,0.9999159936976059
ethylbenzene,-0.0008881847133757952,1.1272605684713373,0.9996204345117158
isopropyl acetate,-0.0013014736842105283,1.254871221052632,0.9947939364334542
Dichloromethane,-0.0018657217125513572,1.8725961088418006,0.9994017662094079
"1,2-dichloroethane",-0.0014943388429752064,1.6914034483471074,0.9956983511305457
Cyclohexanone,-0.0009699999999999986,1.231438833333333,0.9972619194827678
2-methoxyethanol,-0.0009386945898561364,1.2402667152462605,0.9962827271862218
2-ethoxyethanol,-0.0009417121387283244,1.206445670693642,0.9987286843362944
2-butoxyethanol,-0.0008632004089979551,1.1538561262781188,0.9997221359337798
2-propoxyethanol,-0.0008933595238095234,1.173749558690476,0.9978397375518995
transcutol,-0.0009017799999999982,1.2520554819999994,0.9997882995624333
n-pentyl acetate,-0.0011128945945945933,1.2036945977027023,0.963948203192406
mibk,-0.0009207843137254884,1.0707328235294113,0.9993720733615536
n-hexanol,-0.0007213411764705877,1.0302662541176468,0.9998736013470041
isopentanol,-0.0007596500691562935,1.031217247648686,0.99959990287703
Isobutyl acetate,-0.001047024390243903,1.1793312975609758,0.9864131098524463
Water,-0.00043300168623414007,1.1251151318842951,0.9578548677116844
tetrachloromethane,-0.0019355727495753922,2.1614785789771656,0.9997419347076051
tert-butanol,-0.0011024520547945197,1.1098663678082188,0.9991836379239993
formic acid,-0.0011441742971887532,1.5547920968273086,0.9912057534985994
Chlorobenzene,-0.0011030000000000005,1.4301823071428572,0.9980676747858476
mtbe,-0.0010471476737055345,1.0477436513416443,0.9980676154469901
formamide,-0.0008344845847315429,1.3778702027841858,0.9961851392567511
diethyl ether,-0.001106711159107272,1.0383929644852414,0.9992389907062268
cyclopentanone,-0.0009679565217391309,1.233047758695652,0.9998959274686356
